prisoner1_payoff,prisoner2_payoff,prisoner1_state,prisoner2_state
2,2,0,0
4,4,0,0
6,6,0,0
8,8,0,0
10,10,0,0
12,12,0,0
14,14,0,0
16,16,0,0
18,18,0,0
20,20,0,0
22,22,0,1
22,25,0,0
24,27,0,0
26,29,0,0
28,31,0,0
30,33,0,0
32,35,0,0
34,37,0,0
36,39,0,0
38,41,0,1
38,44,0,0
40,46,0,0
42,48,0,0
44,50,0,0
46,52,0,0
48,54,0,0
50,56,0,0
52,58,0,0
54,60,0,0
56,62,0,0
58,64,0,0
60,66,0,0
62,68,0,1
62,71,0,0
64,73,0,1
64,76,0,0
66,78,0,0
68,80,0,0
70,82,0,0
72,84,0,0
74,86,0,0
76,88,0,1
76,91,0,0
78,93,0,0
80,95,0,0
82,97,0,0
84,99,0,0
86,101,0,0
88,103,0,0
90,105,0,0
92,107,0,0
94,109,0,0
96,111,0,0
98,113,0,1
98,116,0,0
100,118,0,0
102,120,0,0
104,122,0,0
106,124,0,0
108,126,0,0
110,128,0,1
110,131,0,1
110,134,0,0
112,136,0,0
114,138,0,1
114,141,0,0
116,143,0,0
118,145,0,0
120,147,0,0
122,149,0,0
124,151,0,0
126,153,0,0
128,155,0,0
130,157,0,0
132,159,0,0
134,161,0,0
136,163,0,0
138,165,0,0
140,167,0,0
142,169,0,0
144,171,0,0
146,173,0,0
148,175,0,1
148,178,0,0
150,180,0,0
152,182,0,0
154,184,0,0
156,186,0,0
158,188,0,0
160,190,0,0
162,192,0,0
164,194,0,0
166,196,0,0
168,198,0,0
170,200,0,0
172,202,0,0
174,204,0,0
176,206,0,0
178,208,0,0
180,210,0,0
